f1,recall,precision,roc_auc,pr_auc,mcc,confusion_matrix,model,sampling
0.0,0.0,0.0,0.4693353994490358,0.03437916489155003,0.0,"[[1320    0]
 [  44    0]]",logistic,None
0.0,0.0,0.0,0.46386019283746555,0.039786153137932725,0.0,"[[1320    0]
 [  44    0]]",svm,None
0.3793103448275862,0.25,0.7857142857142857,0.949896694214876,0.5254395800425249,0.4342663947248297,"[[1317    3]
 [  33   11]]",random_forest,None
0.4,0.29545454545454547,0.6190476190476191,0.9355199724517906,0.5043106968439296,0.4152934503543491,"[[1312    8]
 [  31   13]]",gbdt,None
0.39344262295081966,0.2727272727272727,0.7058823529411765,0.9533746556473829,0.48587458129033767,0.428311235643558,"[[1315    5]
 [  32   12]]",xgboost,None
0.0874751491053678,0.5,0.04793028322440087,0.6459194214876033,0.056043418972898454,0.06317039657115527,"[[883 437]
 [ 22  22]]",logistic,RandomOverSampler
0.09329446064139942,0.36363636363636365,0.05351170568561873,0.6609762396694214,0.04529887530539956,0.06373752579716353,"[[1037  283]
 [  28   16]]",svm,RandomOverSampler
0.4915254237288136,0.6590909090909091,0.3918918918918919,0.9573691460055096,0.49180895949598913,0.4875089646067724,"[[1275   45]
 [  15   29]]",random_forest,RandomOverSampler
0.43373493975903615,0.4090909090909091,0.46153846153846156,0.9362086776859504,0.4659115968087123,0.4168372171511587,"[[1299   21]
 [  26   18]]",gbdt,RandomOverSampler
0.4523809523809524,0.4318181818181818,0.475,0.955940082644628,0.5238811391111556,0.4355497099631023,"[[1299   21]
 [  25   19]]",xgboost,RandomOverSampler
0.088,0.5,0.04824561403508772,0.6449724517906336,0.05182339972375363,0.06412427474230831,"[[886 434]
 [ 22  22]]",logistic,SMOTE
0.09574468085106383,0.4090909090909091,0.05421686746987952,0.6287878787878788,0.044533583144740534,0.07049185208976803,"[[1006  314]
 [  26   18]]",svm,SMOTE
0.45517241379310347,0.75,0.32673267326732675,0.9533402203856749,0.45056255591411204,0.471311385888751,"[[1252   68]
 [  11   33]]",random_forest,SMOTE
0.4745762711864407,0.6363636363636364,0.3783783783783784,0.9432334710743802,0.37277332676325914,0.4691904459366998,"[[1274   46]
 [  16   28]]",gbdt,SMOTE
0.45,0.6136363636363636,0.35526315789473684,0.9507575757575757,0.4869130142009095,0.44407804434505144,"[[1271   49]
 [  17   27]]",xgboost,SMOTE
0.088,0.5,0.04824561403508772,0.6425964187327823,0.05103394637536411,0.06412427474230831,"[[886 434]
 [ 22  22]]",logistic,ADASYN
0.09669211195928754,0.4318181818181818,0.054441260744985676,0.6295454545454545,0.04473675489206093,0.07362153695891945,"[[990 330]
 [ 25  19]]",svm,ADASYN
0.4755244755244755,0.7727272727272727,0.3434343434343434,0.9502926997245179,0.47825054242450704,0.4926969617421848,"[[1255   65]
 [  10   34]]",random_forest,ADASYN
0.4409448818897638,0.6363636363636364,0.3373493975903614,0.9458505509641874,0.3922182811803732,0.4395369784316592,"[[1265   55]
 [  16   28]]",gbdt,ADASYN
0.4918032786885246,0.6818181818181818,0.38461538461538464,0.9543732782369145,0.4875946550295616,0.491146645022742,"[[1272   48]
 [  14   30]]",xgboost,ADASYN
0.09181636726546906,0.5227272727272727,0.05032822757111598,0.6644111570247934,0.05779076654696146,0.0725968194851008,"[[886 434]
 [ 21  23]]",logistic,SMOTEENN
0.09411764705882353,0.36363636363636365,0.05405405405405406,0.6648760330578513,0.04642259700256361,0.06494382839742611,"[[1040  280]
 [  28   16]]",svm,SMOTEENN
0.4311377245508982,0.8181818181818182,0.2926829268292683,0.9520747245179064,0.4543212956168428,0.4640343974471196,"[[1233   87]
 [   8   36]]",random_forest,SMOTEENN
0.4492753623188406,0.7045454545454546,0.32978723404255317,0.9399965564738292,0.34932873316459573,0.45813416782780814,"[[1257   63]
 [  13   31]]",gbdt,SMOTEENN
0.4084507042253521,0.6590909090909091,0.29591836734693877,0.9351411845730028,0.2853324376613536,0.4151853282041317,"[[1251   69]
 [  15   29]]",xgboost,SMOTEENN
